Name,ID,Location,Number
Adidas,1234,Tagamoaa,1991
Toshiba,2345,Shorouk,1856
Defacto,3456,Nasr City,1290
Rimmel,4567,Masr El Gdeeda,1578
ToysRus,5678,Nasr City,1480
Micheal Kors,6789,Madinaty,1386
Oppo,7891,Madinaty,1664
Calvin Klein,8902,Tagamoaa,1723
Levis,9013,Shorouk,1445
Tiffany & Co,1124,Madinaty,1301
Casio,2235,Masr El Gdeeda,1890
Garnier,3346,Tagamoaa,2100
Apple,4457,Shorouk,980
Ikea,5568,Nasr City,2450
Vichy,6679,Madinaty,1760
Tefal,7780,Masr El Gdeeda,1320
Mahgoub,8891,Tagamoaa,1555
Luna,9902,Nasr City,870
Rolex,1013,Madinaty,1980
Max Muscles,2124,Shorouk,2200
